Português	Tupi Antigo
como isto, como este	koba'e îá
Antigamente pescava bem os peixes	Akûeîme, rakó, pirá asekyî-marangatu
Ele (isto é, o mar, o rio) não é fundo	Na typyî
Fico à espera dele, fico no caminho dele	Aîpiarõ
Eu estou preto de fumaça	Xe run tatatinga suí
Por acaso estava com a cintura fendida o maldito, balançando?	I ku'a-bok serã moxy oatimunga?
querendo também que nós afrouxemos nossa carne	îandé ro'o îandé i momby'a-potáno
os que se salvam em Deus	Tupã resé oîepysyrõba'e
Eis que aí ele vai	Ebokûeî i xóû
Compadeci-me dele	Aîmomboreaûsub
Nós estamos enfileirados	Oré rysy
Eu sou hábil	Xe pokarugûar
ajuntamento de pedregulhos	itakurubi-tyba
Leva-o completamente	Ererasó nhetekatunhẽpeũî
Tu tiveste palavras muito resmungonas?	Nde nhe'ẽ-kuru-kurukype?
Mudei-a	Aseyî
Como Deus fará com os que os cumprem?	Marãpe Tupã i moposara rerekóûne?
Impedem os casamentos, mandando impossibilitá-los	Mendara omoarûab i moabaibuká
Eu tenho o interior das pálpebras trêmulo	Xe ropé-py-sysyî
Bem feito que adoeceu!	Iîá omba'easyramo!
Para outra coisa que não o pássaro a flecha foi	Gûyrá taté u'uba sóû
o que foi encarcerado na prisão	mundeokype i mondebypyrûera
trazendo farpas junto com o arco	arupare'aka îurupara ndi seru
Eu sou um assassino, causa de se ter medo dos pecados	Morapitîara ixé, angaîpaba sykyîéba
Eu sou velho	Xe ymûan
o patrimônio dado a mim por meu pai	xe ruba xe mba'eme'engaba
o que tem seu próprio nome	ogûer-y îara
gosto de carne	so'o ré
Foste para revistar os covos de água doce de alguém, tomando seu conteúdo?	Eresópe abá îeky-'ye'ẽ supa, i pora rá?
Eu tenho palavras ásperas	Xe nhe'engasy
Estando eu em casa de cristãos	Karaibokype ûitekóbo
Invocando o Anhanga ou a morte ou o Jurupari	Anhanga koîpó te'õ koîpó Îurupari rekyîa
Dirigi-a	Asebikok
Que há aqui semelhante a um canindé azul?	Mba'epe ké kanindé-oby îasûara?
Não se cansam de rezar a Deus	N'oîeruré-pytubari Tupã supé
Fui na direção do meio das águas	Y-pytera koty asó
Como diz a gente antes de dormir?	Marã e'ipe asé o ké îanondé?
Fi-lo emergir comigo	Arobur
Estou quieto	Aîubĩ
Os que têm a bem-aventurança são os que têm pena das pessoas	Tekokatu-eté rerekoara i poraûsubaryba'e
Quais são, por acaso, as ocasiões de se ter medo da morte?	Mba'e-mba'e-piã te'õ suí nheangûaba?
Fugiram dele, deixando-o	Oîabab i xuí, seîá
Encurtei-o	Aîapûapyk
Oh, eu sou assassino, causa do temor aos pecados, mesmo dos reis	Té! Morapitîara ixé, angaîpaba sykyîeba, morubixaba îepé
Por isso tão somente nasceu dela, não lhe fazendo rombo	Nd'e'i te'e oá nhote i xuí, nd'i pekábo ruã
Eu sou antigo filho de Jetuú	Xe Îetu'u ra'yrûera
São muitas as coisas que são causa de impossibilitar os casamentos	Setá mba'e mendara moabaipaba
És parecido com um chamusco, ó coisa fedorenta!	-Nde rapixara pixé, mba'enem-y îu!
Fica aumentando sua bondade	I angaturama nhẽ oîrumõ-rumõ
Toma um só trago	E'u oîepé îuru nhote
Geração da alegria	Toryba nhemonhangaba
Fez-me arder as pernas	Xe retymã-moîosar
